experiment_name,experiment_label,evaluation_kind,model_name,model_display_name,model_slug,label,support,predicted,tp,fp,fn,precision,recall,f1
single_pass,Single-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,250,307,229,78,21,0.745928338762215,0.916,0.8222621184919211
single_pass,Single-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,250,292,249,43,1,0.8527397260273972,0.996,0.9188191881918819
single_pass,Single-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,250,278,247,31,3,0.8884892086330936,0.988,0.9356060606060607
single_pass,Single-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,250,286,239,47,11,0.8356643356643356,0.956,0.8917910447761194
single_pass,Single-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,250,307,212,95,38,0.6905537459283387,0.848,0.7612208258527827
single_pass,Single-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,250,292,214,78,36,0.7328767123287672,0.856,0.7896678966789669
single_pass,Single-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,250,278,237,41,13,0.8525179856115108,0.948,0.8977272727272727
single_pass,Single-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,250,286,231,55,19,0.8076923076923077,0.924,0.8619402985074627
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,250,213,212,1,38,0.9953051643192489,0.848,0.9157667386609072
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,250,214,214,0,36,1.0,0.856,0.9224137931034483
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,250,238,237,1,13,0.9957983193277311,0.948,0.9713114754098361
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,250,232,231,1,19,0.9956896551724138,0.924,0.9585062240663901
single_pass,Single-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,250,332,225,107,25,0.677710843373494,0.9,0.7731958762886599
single_pass,Single-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,250,296,248,48,2,0.8378378378378378,0.992,0.9084249084249085
single_pass,Single-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,250,285,248,37,2,0.8701754385964913,0.992,0.9271028037383178
single_pass,Single-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,250,288,243,45,7,0.84375,0.972,0.9033457249070632
single_pass,Single-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,250,332,202,130,48,0.608433734939759,0.808,0.6941580756013745
single_pass,Single-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,250,296,214,82,36,0.722972972972973,0.856,0.7838827838827839
single_pass,Single-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,250,285,241,44,9,0.8456140350877193,0.964,0.9009345794392523
single_pass,Single-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,250,288,239,49,11,0.8298611111111112,0.956,0.8884758364312267
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,250,202,202,0,48,1.0,0.808,0.8938053097345133
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,250,214,214,0,36,1.0,0.856,0.9224137931034483
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,250,242,241,1,9,0.9958677685950413,0.964,0.9796747967479674
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,250,241,239,2,11,0.991701244813278,0.956,0.9735234215885946
single_pass,Single-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,closed,250,364,238,126,12,0.6538461538461539,0.952,0.7752442996742671
single_pass,Single-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,250,286,249,37,1,0.8706293706293706,0.996,0.9291044776119403
single_pass,Single-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,250,280,248,32,2,0.8857142857142857,0.992,0.9358490566037736
single_pass,Single-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,250,274,242,32,8,0.8832116788321168,0.968,0.9236641221374046
single_pass,Single-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,closed,250,364,224,140,26,0.6153846153846154,0.896,0.729641693811075
single_pass,Single-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,250,286,214,72,36,0.7482517482517482,0.856,0.7985074626865671
single_pass,Single-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,250,280,240,40,10,0.8571428571428571,0.96,0.9056603773584904
single_pass,Single-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,250,274,239,35,11,0.8722627737226277,0.956,0.9122137404580152
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed,250,224,224,0,26,1.0,0.896,0.9451476793248946
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,250,214,214,0,36,1.0,0.856,0.9224137931034483
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,250,241,240,1,10,0.995850622406639,0.96,0.9775967413441955
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,250,239,239,0,11,1.0,0.956,0.9775051124744376
multi_pass,Multi-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,250,298,231,67,19,0.7751677852348994,0.924,0.843065693430657
multi_pass,Multi-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,250,293,249,44,1,0.8498293515358362,0.996,0.9171270718232044
multi_pass,Multi-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,250,285,248,37,2,0.8701754385964913,0.992,0.9271028037383178
multi_pass,Multi-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,250,288,244,44,6,0.8472222222222222,0.976,0.9070631970260222
multi_pass,Multi-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,250,298,213,85,37,0.714765100671141,0.852,0.7773722627737226
multi_pass,Multi-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,250,293,218,75,32,0.7440273037542662,0.872,0.8029465930018417
multi_pass,Multi-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,250,285,242,43,8,0.8491228070175438,0.968,0.9046728971962616
