experiment_name,experiment_label,model_name,model_slug,gold_row_index,article_id,id_phrase,article_title,phrase,gold_temporal_expression,gold_interval,predicted_interval_bucket,predicted_intervals_for_same_gold_span,row_status,counted_as_correct
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,1,5f6a410a4ba086b296100a8a5a10df59eb337c90,125184,Epidemic doubling time of the COVID-19 epidemic by Chinese province 1,"We explored Scenario 1 in which a mean incubation period (D1) of 6.4 days estimated by Backer, Klinkenberg and Wallinga (5) based on 88 cases with known travel history to or from Wuhan, and a mean duration from onset of symptoms to isolation (D2) of 0.7 day estimated by authors from Guangdong Provincial CDC using data of cases after January 19, 2020, in a study using 153 cases confirmed by January 23, 2020.","after January 19, 2020",right_open,right_open,right_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,2,0c79ed35d20378f35456a55195abe7fb89a2990c,12131,"A Gaussian model for the time development of the Sars-Cov-2 corona pandemic disease. Predictions for Germany made on March 30, 2020",We take this risk because we are convinced that many persons will welcome our optimistic estimate that the first wave is over by end of May 2020.,by end of May 2020,left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,3,4a908bb4c3229f4128139e44e69529f0c2d1666d,94956,,"This study considers the spread, and persistence, of public awareness of the novel Wuhan coronavirus which emerged in late 2019.",in late 2019,closed,__MISSING__,,missing_span,0
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,4,a14e3a346bac0f3033de8004525192f0b2687d4a,207884,Potential roles of social distancing in mitigating the spread of coronavirus disease 2019 (COVID-19) in South Korea Funding statement,"Between February 21 -March 1, 2020, the daily number of reported cases reflects the number of reported cases within the last 24 hours (9 AM to 9 AM).","Between February 21 -March 1, 2020",closed_duration,closed_duration,closed_duration,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,5,3638c712297a30a3ab860eb46808ecf6684693d8,72399,"Tracing DAY-ZERO and Forecasting the Fade out of the COVID-19 Outbreak in Lombardy, Italy: A Compartmental Modelling and Numerical Optimization Approach","Extra measures were announced on March 21, including the closure of all public and private offices, and the prohibition of any pedestrian activity, even individually [27] .",on March 21,closed,__MISSING__,,missing_span,0
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,6,b9548530d954b407b35fb266e2b4192402c982a1,234811,,"As a result, since 24 January 2020, all public transports from and to Wuhan, as well as public transports and people's gathering events within Wuhan, were stopped.",since 24 January 2020,right_open,__MISSING__,,missing_span,0
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,7,625b53389c239245a7d644ff55d132ee528668f6,127721,"The basic reproduction number and prediction of the epidemic size of the novel coronavirus (COVID-19) in Shahroud, Iran","Nonetheless, the timeframe from 20 March to 2 April 2020 coincides with the 'Norouz Spring Holidays' in Iran.",from 20 March to 2 April 2020,closed_duration,__MISSING__,,missing_span,0
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,8,eec5b4ce2de8d9d00be664e6af79cac476991bbf,296845,"Distribution of the 2019-nCoV Epidemic and Correlation with Population Emigration from Wuhan, China","After January 19, suspected cases increased rapidly, and about 40-50% of these suspected cases were then diagnosed as confirmed cases ( Figure 1C ).",After January 19,right_open,right_open,right_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,9,841e2b8df37c627db6013f7da95a3d9b7cff81f2,168173,Knowledge and Beliefs towards Universal Safety Precautions to flatten the curve during Novel Coronavirus Disease (nCOVID-19) Pandemic among general Public in India: Explorations from a National Perspective,"In a large cross-sectional comparative study conducted in Bangladesh from 2006 to 2011, including participants from 50 sub-districts inferred that there exists a significant gap between perceptions and practice of proper handwashing behaviours among their study participants.",from 2006 to 2011,closed_duration,closed_duration,closed_duration,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,10,957e71389292e0881dff2bbe0e87fe6bf8b2d381,184596,Title: Risk for Transportation of 2019 Novel Coronavirus (COVID-19) from Wuhan to Cities in China,"We estimated the case detection rate in Wuhan by taking the ratio between the number of reported cases in Wuhan by January 22, 2020 and our estimates for the number of infections occurring ≥10 days prior (i.e., by January 12, 2020).","by January 12, 2020",left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,11,74fcbece5dd416519a5334b9cc2584cd11bcda5d,148664,Exposure to air pollution and COVID-19 mortality in the United States,"These counties account for 90% of COVID-19 deaths up to April 4, 2020.","up to April 4, 2020",left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,12,3b181a741d4beafda3ba3a8fc68239493d49f6aa,77760,"Estimation of local novel coronavirus (COVID-19) cases in Wuhan, China from off-site reported cases and population flow data from different sources","In December 2019, a cluster of patients with pneumonia of unknown causes were reported in Wuhan, Hubei Province, China [1] .",In December 2019,closed,closed,closed,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,13,189e553cea69b8eca43a7c51399bf9a327538c97,28438,"COVID-19, City Lockdown, and Air Pollution: Evidence from China","We find that their trends in air quality before the Chinese Spring Festival were also similar, suggesting that the air quality in 2019 could be a reasonable counterfactual for air quality in 2020 in the controlled cities.",in 2020,closed,closed,closed,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,14,754315299d847600d6c5d414665c728d40bf731d,148885,"Breaking down of healthcare system: Mathematical modelling for controlling the novel coronavirus (2019-nCoV) outbreak in Wuhan, China","1,000 -9,700) by 18th January 2020.",by 18th January 2020,left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,15,0fa18c47543c3ce69a3c9e4d77958c4d3691b1ed,15081,Significance of hydrophobic and charged sequence similarities in sodium-bile acid cotransporter and vitamin D-binding protein macrophage activating factor,Both sequences are rich in hydrophobic residues; the sequence of DBP-MAF is located in a shallow cleft of the proteins that facilitates its binding to fatty acids that are sandwiched between the protein and the plasma membrane as we proposed in 2013 (12) .,in 2013,closed,closed,closed,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,16,107f0d5a47f48f85d6645cac0e7008edc4d9d8cd,18093,Quantitative Delineation of Herpesviruses in Bats for use in Ecological Studies,Herpesviruses were first detected in bats in 1996 (Tandler 1996) .,in 1996,closed,closed,closed,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,17,625b53389c239245a7d644ff55d132ee528668f6,127766,"The basic reproduction number and prediction of the epidemic size of the novel coronavirus (COVID-19) in Shahroud, Iran","During the first 41 days of the epidemic (20 February to 31 March 2020), a total of 1055 suspected samples were tested for COVID-19 in Shahroud, and 405 (40.1 percent) of them tested positive.",20 February to 31 March 2020,closed_duration,__MISSING__,,missing_span,0
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,18,6d3b3f4ab80a61c45f82c61c6c756cfc6ddf4bf2,141137,Estimation of incubation period distribution of COVID-19 using disease onset forward time: a novel cross-sectional and forward follow-up study,"We have searched PubMed and preprint archives for articles published as of February 22, 2020, which contain information about these diseases by using the key words of ""COVID-19"", ""SARS"", ""MERS"", ""2019-nCoV"", ""coronavirus"", and ""incubation"".","as of February 22, 2020",left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,19,013d9d1cba8a54d5d3718c229b812d7cf91b6c89,1171,"Assessing spread risk of Wuhan novel coronavirus within and beyond China, January-April 2020: a travel network-based modelling study","As of February 4 th , 2020, China has reported 20,530 confirmed cases and 23,314 suspected cases with 2019-nCoV infections [8] .","As of February 4 th , 2020",left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,20,b8bb4db131a25b1bbb30d4205b16dc9ef988d22f,234043,TITLE PAGE Title: Machine learning-based CT radiomics model for predicting hospital stay in patients with pneumonia associated with SARS-CoV-2 infection: A multicenter study,"A total of 52 patients with laboratory-confirmed SARS-CoV-2 infection and their initial CT images were enrolled from 5 designated hospitals in Ankang, Lishui, Zhenjiang, Lanzhou, and Linxia between January 23, 2020 and February 8, 2020.","between January 23, 2020 and February 8, 2020",closed_duration,closed_duration,closed_duration,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,21,0a54bc995e2c2b9bd0eff65aa7c00815fc16008d,10707,Capacities and predicted demands of Brazil's health system in view of the novel coronavirus disease outbreak,"The daily number of documented COVID-19 infections in Brazil between 26th February 2020 and 1th April 2020 is available at https://covid.saude.gov.br/, and it has allowed to fit a fivedegree exponential regression model to represent this dataset comprised of 30 observations:",between 26th February 2020 and 1th April 2020,closed_duration,closed_duration,closed_duration,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,22,18dc6a67045d2687d2b5c11c85797f42824ed243,29148,Evolution and variation of 2019-novel coronavirus,"As of 28 January 2020, there were 4631 confirmed cases and 106 deaths, and had affected 11 countries or regions [7, 8] .",As of 28 January 2020,left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,23,a1eaa043e663ce32ae55d870e63f0c08e6a2db8e,208372,Prediction of the Health System Failure in Brazil amid Diverse Intervention Strategies,"As of April 03, 2020, the world had more than one million (1.016.401)","As of April 03, 2020",left_open,left_open,left_open,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,24,10138816c67a562b55bc9c2b882b62c81fc4b062,15904,Epidemic analysis of COVID-19 in China by dynamical modeling,"Based on detailed analysis of the public data of NHC of China from Jan. 20th to Feb. 9th, we estimate several key parameters for COVID-19, like the latent time, the quarantine time and the basic reproduction number in a relatively reliable way, and predict the inflection point, possible ending time and final total infected cases for Hubei, Wuhan, Beijing, Shanghai, etc.",from Jan. 20th to Feb. 9th,closed_duration,closed_duration,closed_duration,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,25,2e3c753682fba0d9c7a0462051a1287b9599ac92,60754,A comparative multicenter study on the clinical and imaging features of confirmed and unconfirmed patients with COVID19 Authors' names,"On 11 March 2020, the world health organization declared the COVID-19 as a global pandemic.",On 11 March 2020,closed,closed,closed,correct,1
multi_pass,Multi-pass,qwen/qwen3.5-9b,qwen__qwen3.5-9b,26,19a08cc1423d6006b2251bdcfd142f88db7002e7,29786,Genetic Profiles in Pharmacogenes Indicate Personalized Drug Therapy for COVID-19 Running title: COVID-19 pharmacogenetics,"As for hydroxychloroquine, two of the nine clinical trials have ended on February 29, 2020","on February 29, 2020",closed,closed,closed,correct,1
