experiment_name,experiment_label,evaluation_kind,model_name,model_display_name,model_slug,gold_label,predicted_bucket,count
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,__MISSING__,37
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,closed,212
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,right_open,1
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,__MISSING__,36
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,closed_duration,214
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,__MISSING__,12
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,closed,1
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,left_open,237
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,__MISSING__,18
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,left_open,1
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,right_open,231
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,__MISSING__,47
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,closed,202
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,right_open,1
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,__MISSING__,35
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,closed_duration,214
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,right_open,1
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,__MISSING__,9
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,left_open,241
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,__MISSING__,10
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,left_open,1
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,right_open,239
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed,__MISSING__,26
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed,closed,224
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,__MISSING__,36
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,closed_duration,214
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,__MISSING__,10
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,left_open,left_open,240
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,__MISSING__,10
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,left_open,1
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,right_open,right_open,239
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,__MISSING__,37
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed,closed,213
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,__MISSING__,32
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,closed_duration,closed_duration,218
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,__MISSING__,8
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,left_open,left_open,242
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,__MISSING__,10
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,left_open,1
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,right_open,right_open,239
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,__MISSING__,53
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,closed,196
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed,right_open,1
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,__MISSING__,45
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,closed_duration,204
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,closed_duration,left_open,1
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,__MISSING__,19
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,left_open,left_open,231
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,__MISSING__,19
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,left_open,1
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,right_open,right_open,230
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed,__MISSING__,28
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed,closed,222
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,closed_duration,__MISSING__,34
